BoxName,Length,Width,Height
18x12x12,18,12,12
20x15x15,20,15,15
20x20x20,20,20,20
12x8x10,12,8,10
12x6x6,12,6,6
24x6x6,24,6,6
18x18x18,18,18,18
22x22x14,22,22,14
14x14x14,14,14,14
12x9x3,12,9,3
8x8x3,8,8,3
11x7x3,11,7,3
26x26x9,26,26,9
